ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
169,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,左,肱骨,完整,,1,,"29,38","39,62","29,86","25,55",166,,,,,,,,,,,,,
170,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,右,肱骨,近端,,1,,,,,,,,,,,,,,,,,,,
171,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,枢椎,,,1,,,,,,,,,,,,,,,,,,,
172,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,胫骨,完整,,1,,"32,63","29,91","21,79","16,19",174,,,,,,,,,,,,,
173,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,桡骨,完整,,1,,"17,18","11,43","22,76","12,69",164,,,,,,,,,,,,,
174,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,左,尺骨,,远端残,1,,,,,,,,,,,,,,,,,,,
175,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,右,尺骨,两端残,,1,,,,,,,,,,,,,,,,,,,
176,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,腓骨,骨干,,1,,,,,,,,,,,,,,,,,,,
34,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,第1节趾骨,,,13,,,,,,,,,,,,,,,,,,,
35,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,第2节趾骨,,,9,,,,,,,,,,,,,,,,,,,
36,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,第3节趾骨,,,4,,,,,,,,,,,,,,,,,,,
37,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,尾椎,,,1,,,,,,,,,,,,,,,,,,,
38,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,脊椎,,,15,,,,,,,,,,,,,,,,,,,
39,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,肋骨,,,11,,,,,,,,,,,,,,,,,,,
40,2000,HD,T31,M54,05,XG4,,深5.1米,狗,右,肱骨,完整,近端未愈合,1,,"30,83","39,23","32,3","24,64",167,,,,,,,,,,,,,
41,2000,HD,T31,M54,05,XG4,,深5.1米,狗,左,尺骨,,愈合,1,,,,,,,,,,,,,,,,,,,
42,2000,HD,T31,M54,05,XG4,,深5.1米,狗,左,肱骨,远端,,1,,,,,,,,,,,,,,,,,,,
43,2000,HD,T31,M54,05,XG4,,深5.1米,狗,右,桡骨,完整,,1,,"17,38","11,87","24,1","14,01",162,,,,,,,,,,,,,
44,2000,HD,T31,M54,05,XG4,,深5.1米,狗,左,桡骨,近端,,1,,,,,,,,,,,,,,,,,,,
45,2000,HD,T31,M54,05,XG4,,深5.1米,狗,左,股骨,完整,,1,,"37,9","20,12","31,15","33,79",178,,,,,,,,,,,,,
46,2000,HD,T31,M54,05,XG4,,深5.1米,狗,左,胫骨,完整,,1,,"34,28","33,18","22,55","17,36",174,,,,,,,,,,,,,
47,2000,HD,T31,M54,05,XG4,,深5.1米,狗,,掌骨或跖骨,,,7,,,,,,,,,,,,,,,,,,,
48,2000,HD,T31,M54,05,XG4,,深5.1米,狗,右,尺骨,尺骨头,,1,,,,,,,,,,,,,,,,,,,
49,2000,HD,T31,M54,05,XG4,,深5.1米,狗,,腓骨,远端,,2,,,,,,,,,,,,,,,,,,,
