分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
4,孝民屯,89-90孝民屯东南M1258,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1260,,,,腰坑/狗/整/1,填土/狗/整/2,,,,,
3,孝民屯,89-90孝民屯东南M1261,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
2,孝民屯,89-90孝民屯东南M1265,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,孝民屯,89-90孝民屯东南M1272,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
3,孝民屯,89-90孝民屯东南M1273,,,,填土/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1275,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1276,,,,填土/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1277,,,,填土/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1285,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1291,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1301,,,,腰坑/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1303,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1305,,,,腰坑/狗/整/1,,,,,,
,孝民屯,89-90孝民屯东南M1306,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1312,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1314,,,,腰坑/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1315,,,,腰坑/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1320,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1325,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1328,,,,腰坑/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1329,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1335,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1352,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1358,,,,二层台/兽/腿,,,,,,
4,孝民屯,89-90孝民屯东南M1359,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1360,,,,二层台/兽/腿,,,,,,
3,孝民屯,2003AXST1930M17,,/头北,,填土/牛/腿/1,填土/狗/整/1/头北,,,,,
3,孝民屯,03AXSM132,,/头北,,填土/狗/整/1/头北,,,,,,
,后冈,71后冈M32,,,双墓道,腰坑/狗/整/1,,,,,,
,后冈,71后冈M47,,,单墓道,二层台/狗/整/1,,,,,,
,后冈,71后冈M16,,/头北,土坑竖穴,腰坑/狗/整/1,二层台/狗/整/1,,,,,
,后冈,71后冈M3,,,殉葬坑,殉葬坑/马/2,,,,,,
,后冈,91后冈M9,,,大墓，长方竖穴,腰坑/狗/整/1,,,,,,
2,后冈,91后冈M12,,,大墓，长方竖穴,二层台/狗/整/1,腰坑/狗/整/1,,,,,
3,后冈,91后冈M14,,,小墓,二层台/牛/腿/1,,,,,,
,后冈,91后冈M19,,,小墓,腰坑/狗/整/1/头南,,,,,,
4,后冈,91后冈M26,,,小墓,腰坑/狗/整/1,,,,,,
4,后冈,91后冈M27,,,小墓,腰坑/狗/整/1/头南,,,,,,
3,后冈,91后冈M33,,/头北,小墓,腰坑/狗/整/1,,,,,,
,后冈,91后冈M37,,,小墓,腰坑/狗/整/1/头南,,,,,,
4,后冈,91后冈M39,,,小墓,腰坑/鸡/整/1,,,,,,
2,苗圃,80APNM19,,/头东,土坑竖穴,腰坑/狗/整/1/头反,填土/狗/整/1,填土/牛/腿/1,,,,
3,苗圃,82APNM80,,/头东,土坑竖穴,腰坑/狗/整/1/头西,,,,,,
3,苗圃,82APNM54,,/头东,土坑竖穴,二层台/狗/整/1,,,,,,
4,苗圃,80APNM15,,/头南,土坑竖穴,腰坑/狗/整/1/头南,,,,,,
1,苗圃,84苗圃北M118,,,,腰坑/狗/整/1/头北,,,,,,
1,苗圃,84苗圃北M123,,,,棺上/狗/整/1/头北,,,,,,
2晚,苗圃,84苗圃北M99,,,,腰坑/狗/整/1/头西,,,,,,
2/3,苗圃,84苗圃北M105,,,,腰坑/狗/整/1/头西,,,,,,
4,苗圃,84苗圃北M129,,,,二层台/狗/整/1,,,,,,
1,苗圃,59M212,,,土坑竖穴,腰坑/狗/整/1,,,,,,
1,苗圃,59M58,,,土坑竖穴,腰坑/狗/整/1,/牛/角,,,,,
1,苗圃,84M98,,,土坑竖穴,腰坑/狗/整/1,,,,,,
1,苗圃,84M113,,,土坑竖穴,腰坑/狗/整/1,,,,,,
1,苗圃,84M118,,,土坑竖穴,腰坑/狗/整/1,,,,,,
1,苗圃,84M123,,,土坑竖穴,腰坑/狗/整/1,,,,,,
1,苗圃,84苗圃M116,,,,/猪/腿/1,,,,,,
1,苗圃,84苗圃M44,,,,/羊/腿/1,腰坑/狗/整/1,,,,,
3/4,梅园庄,87梅园庄M27,,,,填土/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M30,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3/4,梅园庄,87梅园庄M48,,,,填土/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M49,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M51,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M52,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3/4,梅园庄,87梅园庄M58,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M67,,,中,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M68,,,中,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M69,,,中,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M73,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3/4,梅园庄,87梅园庄M78,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M82,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M85,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M86,,,,填土/马,,,,,,
3/4,梅园庄,87梅园庄M87,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M91,,,中,腰坑/狗/整/1,/牛,,,,,
3/4,梅园庄,87梅园庄M93,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M112,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M113,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M118,,,中,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M125,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M127,,,,腰坑/狗/整/1,,,,,,
3/4,梅园庄,87梅园庄M128,,,,腰坑/狗/整/1,,,,,,
3,梅园庄,93AMM1,,,车马坑,车马坑/马/整/2,,,,,,
,梅园庄,80梅园庄M6,,,土坑竖穴,填土/狗/整/1,,,,,,
,梅园庄,80梅园庄M11,,,土坑竖穴,填土/狗/整/1,,,,,,
3/4,梅园庄,95铁西城建M40,,,车马坑,车马坑/马/整/2/头南,,,,,,
3/4,梅园庄,95铁西城建M41,,,车马坑,车马坑/马/整/2/头南,,,,,,
4早,梅园庄,90梅园庄M1,,/头北,土坑竖穴,腰坑/狗/整/1/头南,填土/狗/整/1/头北,二层台/牛/腿/1,,,,
1,薛家庄,83薛家庄M1,,,小墓竖穴,二层台/狗/整/1,,,,,,
2,薛家庄,83薛家庄M3,,/头北,小墓竖穴,填土/狗/整/2,二层台/狗/整/3,腰坑/狗/整/1/头南,,,,
,薛家庄,57薛家庄M1,,,,腰坑/狗/整/1/头反,,,,,,
,薛家庄,57薛家庄M7,,/头南,,腰坑/狗/整/1/头北,填土/狗/整/1/头北,,,,,
2,西北冈,M1001,,,十字形,殉葬坑/狗/整/9,,,,,,
3,殷墟西区,81AGSM1613,,,车马坑,车马坑/马/整/2/头南,,,,,,
,,,,,,,,,,,,
4晚,郭家庄,86AQM6,,/头北/中,长方竖井,填土/狗/整/1/头南,腰坑/狗/整/1/头南,二层台/牛/腿/1,二层台/羊/腿/1,,,
2,郭家庄,95郭家庄东南M26,,/头东,,腰坑/狗/整/1/头西,二层台/狗/整/1/头东,,,,,
2,郭家庄,2006WYLDM5,,/头东,土坑竖穴,二层台/狗/整/1/头西,二层台/马/头/1,二层台/牛/腿,腰坑/狗/整/1/头西,,,
3,郭家庄,郭家庄西M160,,//高,大墓,填土/狗/整/1/头东,二层台/羊,二层台/牛,腰坑/狗/整/1/头西,椁室/狗/整/1,,
3,郭家庄,87AGNM51,,,车马坑,车马坑/马/整/2/头西,,,,,,
4初,郭家庄,87AGNM52,,,车马坑,车马坑/马/整/2/头西,,,,,,
,郭家庄,87AGNM58,,,车马坑,车马坑/马/整/1/头西,,,,,,
,殷墟西区,M7,,,车马坑,车马坑/马/整,,,,,,
,小屯,,,,车马坑,车马坑/马/整,,,,,,
,西北冈,,,,车马坑,车马坑/马/整,,,,,,
,白家坟,,,,车马坑,车马坑/马/整,,,,,,
,殷墟西区,M93,,,,车马坑/马/整,马坑/马/整,,,,,
4,郭家庄,83郭家庄M1,,/头西,,腰坑/狗/整/1/头东,二层台/羊/腿/1,,,,,
4,郭家庄,87郭家庄M1,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
3,郭家庄,87郭家庄M7,,,长方竖穴,腰坑/狗/整/1/头南,,,,,,
3,郭家庄,87郭家庄M8,,,长方竖穴,腰坑/狗/整/1/头北,,,,,,
4晚,小屯,2003AXTT2M1,,//高,中字大型墓,填土/狗/整/1,二层台/狗/整/2/头南,二层台填土/狗/整/3/头西,,,,
4,小屯,77AXTM18,,女?/头北,长方竖井,二层台/狗/整/1/头西,腰坑/狗/整/1/头南,二层台/猪/腿/1,椁室/牛/腿/1,,,
4,小屯,76AXTM17,,/头北,长方竖井,腰坑/狗/整/1/头南,墓室/狗/整/1/头南,角/羊/腿/1,,,,
,小屯,人马小墓,,,马坑,/狗/整/2/头北,/马/整/1,,,,,
,小屯,小屯M230,,,,/牛,,,,,,
,小屯,小屯M182,,,,/羊,,,,,,
,小屯,小屯M94,,,,/狗,,,,,,
,小屯,小屯M390,,,,/牛,/羊,,,,,
,小屯,小屯M105,,,,/狗,/羊,,,,,
,小屯,小屯M14,,,,/狗,/羊,,,,,
,小屯,小屯M140,,,,/牛,,,,,,
,小屯,小屯M152,,,,/羊,,,,,,
,小屯,小屯M377,,,,/狗,,,,,,
,小屯,小屯M159,,,,/猪,/猴,,,,,
,小屯,小屯M360,,,,/猪,/猴,,,,,
,小屯,小屯,,,车马坑,/马,,,,,,
,小屯,小屯M232,,,,墓底/狗/整/1,,,,,,
,小屯,小屯M414,,,带戈,/狗/整/1,,,,,,
,小屯,小屯M280,,,,/狗/整/5,,,,,,
,小屯,小屯M207,,,,/狗/整/5,,,,,,
,小屯,小屯M364,,,,/牛,,,,,,
4,殷墟西区,四1112,,,,/羊/头,/羊/腿,,,,,
4,殷墟西区,六1048,,,,/羊/头,,,,,,
4,殷墟西区,六1057,,,,/羊/头,,,,,,
,殷墟西区,八269,,,,/羊/头,,,,,,
3,殷墟西区,一531,,,,/羊/腿,,,,,,
4,殷墟西区,一439,,,,/羊;小/腿,,,,,,
,殷墟西区,三291,,,,/羊/腿,/牛/腿,腰坑/狗/整/1,填土/狗/整/1,,,
,殷墟西区,三347,,,,/羊/腿,,,,,,
3,殷墟西区,三357,,,,/羊/腿,填土/狗/整/1,腰坑/狗/整/1,,,,
4,殷墟西区,三363,,,,/羊/腿,/牛/腿,填土/狗/整/1,,,,
4,殷墟西区,三607,,,,/羊/腿,/猪/腿,填土/狗/整/1,腰坑/狗/整/1,,,
4,殷墟西区,三609,,,,/羊/腿,,,,,,
4,殷墟西区,三616,,,,/羊/腿,腰坑/狗/整/1,/猪/腿,,,,
,殷墟西区,三692,,,,/羊/腿,腰坑/狗/整/1,填土/狗/整/2,,,,
2,殷墟西区,三694,,,,/羊/腿,腰坑/狗/整/1,,,,,
,殷墟西区,三739,,,,/羊/腿,,,,,,
,殷墟西区,三741,,,,/羊/腿,,,,,,
4,殷墟西区,四220,,,,/羊/腿,腰坑/狗/整/1,/牛/腿,,,,
4,殷墟西区,四234,,,,/羊/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,四235,,,,/羊/腿,,,,,,
4,殷墟西区,五1005,,,,/羊/腿,,,,,,
,殷墟西区,五1911,,,,/羊/腿,,,,,,
4,殷墟西区,五1049,,,,/羊/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,五1054,,,,/羊/腿,,,,,,
4,殷墟西区,五1058,,,,/羊/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,五1061,,,,/羊/腿,,,,,,
4,殷墟西区,五1063,,,,/羊/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,五1064,,,,/羊/腿,,,,,,
4,殷墟西区,五1066,,,,/羊/腿,,,,,,
4,殷墟西区,八267,,,,/羊/腿,/牛/腿,,,,,
3,殷墟西区,八268,,,,/羊/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,八1119,,,,/羊/腿,,,,,,
3,殷墟西区,八1139,,,,/羊/腿,腰坑/狗/整/1,填土/狗/整/1,,,,
4,殷墟西区,八1148,,,,/羊/腿,,,,,,
4,殷墟西区,一429,,,,/羊,,,,,,
3,殷墟西区,一478,,,,/牛/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,二86,,,,/牛/腿,,,,,,
3,殷墟西区,三172,,,,/牛/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,三332,,,,/牛/腿,填土/狗/整/1,腰坑/狗/整/1,,,,
4,殷墟西区,三701,,,,/牛/腿,,,,,,
,殷墟西区,三719,,,,/牛/腿,,,,,,
4,殷墟西区,三729,,,,/牛/腿,填土/狗/整/1,,,,,
,殷墟西区,三732,,,,/牛/腿,,,,,,
,殷墟西区,三767,,,,/牛/腿,填土/狗/整/4,,,,,
4,殷墟西区,四219,,,,/牛/腿,腰坑/狗/整/1,,,,,
4,殷墟西区,四221,,,,/牛/腿,腰坑/狗/整/1,,,,,
,殷墟西区,五186,,,,/牛/腿,,,,,,
3,殷墟西区,六102,,,,/牛/腿,,,,,,
4,殷墟西区,六1024,,,,/牛/腿,腰坑/狗/整/1,,,,,
,殷墟西区,六1933,,,,/牛/腿,,,,,,
4,殷墟西区,八269,,,,/牛/腿,/猪/头,/羊/头,腰坑/狗/整/1,填土/狗/整/1,,
3,殷墟西区,八271,,,,/牛/腿,腰坑/狗/整/1,填土/狗/整/1,,,,
4,殷墟西区,八275,,,,/牛/腿,/牛/头,填土/狗/整/2,腰坑/狗/整/1,,,
4,殷墟西区,八279,,,,/牛/腿,/羊/腿,腰坑/狗/整/1,填土/狗/整/1,,,
4,殷墟西区,三697,,,,/猪/头;腿,腰坑/狗/整/1,填土/狗/整/1,,,,
,殷墟西区,七93,,,,/猪/头,,,,,,
,殷墟西区,八269,,,,/猪/头,,,,,,
2,殷墟西区,三669,,,,/猪/腿,/鱼,,,,,
4,殷墟西区,七949,,,,/猪/腿,,,,,,
4,殷墟西区,七950,,,,/猪/腿,,,,,,
3,殷墟西区,七999,,,,/猪/腿,,,,,,
4,殷墟西区,八1121,,,,填土/狗/整/1,,,,,,
4,殷墟西区,八1120,,,,/猪/腿,腰坑/狗/整/1,,,,,
2,殷墟西区,三610,,,,/鸡/腿,二层台/狗/整/1,,,,,
3,殷墟西区,一498,,,,/狗/头,填土/狗/整/1,/牛/下颚骨,,,,
,殷墟西区,四205,,,,/狗/头,,,,,,
,殷墟西区,三640,,,,/狗/腿,,,,,,
4,殷墟西区,四1115,,,,/鱼,腰坑/狗/整/1,,,,,
3,殷墟西区,六1026,,,,/鱼,腰坑/狗/整/1,填土/狗/整/1,,,,
4,殷墟西区,七980,,,,/鱼,,,,,,
4,殷墟西区,三699,,,,马/腿,,,,,,
4,殷墟西区,三700,,,,马/腿,,,,,,
,殷墟西区,三718,,,,/兽,,,,,,
,殷墟西区,五187,,,,/兽,,,,,,
4,殷墟西区,六1037,,,,/兽,腰坑/狗/整/1,,,,,
3,殷墟西区,六1046,,,,/兽;小,,,,,,
,殷墟西区,七979,,,,/兽,,,,,,
,殷墟西区,七989,,,,/兽,,,,,,
4,殷墟西区,八284,,,,/兽,腰坑/狗/整/1,填土/狗/整/1,,,,
3,殷墟西区,八1124,,,,/兽,填土/狗/整/1,,,,,
4,殷墟西区,八1125,,,,/兽,填土/狗/整/1,,,,,
4,殷墟西区,八1141,,,,/兽,,,,,,
,殷墟西区,一468,,,,/兽/腿,,,,,,
2,殷墟西区,一464,,,,/兽/腿,,,,,,
3,殷墟西区,二72,,,,/兽/腿,,,,,,
,殷墟西区,二73,,,,/兽/腿,,,,,,
3,殷墟西区,二74,,,,/兽/腿,,,,,,
3,殷墟西区,二126,,,,/兽/腿,填土/狗/整/1,腰坑/狗/整/1,,,,
2,殷墟西区,二149,,,,/兽/腿,,,,,,
4,殷墟西区,三288,,,,/兽/腿,,,,,,
4,殷墟西区,三342,,,,/兽/腿,,,,,,
4,殷墟西区,四226,,,,/兽/腿,,,,,,
3,殷墟西区,七52,,,,/兽/腿,,,,,,
4,殷墟西区,七978,,,,/兽/腿,,,,,,
4,殷墟西区,七979,,,,/兽/腿,,,,,,
2,殷墟西区,一413,,,,腰坑/狗/整/1/水浸,填土/狗/整/1/水浸,,,,,
2,殷墟西区,一419,,,,腰坑/狗/整/1,填土/羊/腿/1,,,,,
3,殷墟西区,一422,,,,腰坑/狗/整/1,填土/狗/整/1,/羊/腿,,,,
2,殷墟西区,一423,,,,填土/狗/整/2/水浸,,,,,,
4,殷墟西区,一425,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一426,,,,填土/狗/整/1/水浸,,,,,,
4,殷墟西区,一444,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一445,,,,腰坑/狗/整/1,/鸡,/羊,,,,
4,殷墟西区,一449,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一451,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,一454,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一459,,,,填土/狗/整/1,,,,,,
3,殷墟西区,一437,,,,/兽,,,,,,
4,殷墟西区,一462,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,一463,,,,填土/狗/整/1,,,,,,
,殷墟西区,一465,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
3,殷墟西区,一467,,,,填土/羊/整/1,,,,,,
4,殷墟西区,一468,,,,填土/狗/整/1,腰坑/狗/整/1,/兽,,,,
3,殷墟西区,一469,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一473,,,,/牛/腿,填土/狗/整/1/水浸,,,,,
2,殷墟西区,一479,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一485,,,,填土/狗/整/1,,,,,,
3,殷墟西区,一490,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一497,,,,填土/狗/整/1,,,,,,
2,殷墟西区,一505,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一506,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一507,,,,填土/狗/整/1,,,,,,
2,殷墟西区,一515,,,,填土/狗/整/1/水浸,,,,,,
4,殷墟西区,一517,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,一519,,,,填土/狗/整/1,,,,,,
3,殷墟西区,一520,,,,填土/狗/整/1,,,,,,
3,殷墟西区,一524,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,一528,,,,填土/狗/整/1,,,,,,
4,殷墟西区,一530,,,,填土/狗/整/1,,,,,,
,殷墟西区,一534,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,一535,,,,二层台/狗/整/1,二层台/猪/头/1,,,,,
2,殷墟西区,一543,,,,填土/狗/整/1,,,,,,
4,殷墟西区,二60,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,二61,,,,填土/狗/整/1,,,,,,
4,殷墟西区,二62,,,,填土/狗/整/1,,,,,,
2,殷墟西区,二65,,,,填土/狗/整/1,,,,,,
3,殷墟西区,二67,,,,填土/狗/整/1,,,,,,
3,殷墟西区,二73,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,二77,,,,腰坑/狗/整/1,/兽/腿,,,,,
3,殷墟西区,二79,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,二81,,,,填土/狗/整/1,,,,,,
3,殷墟西区,二82,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,二83,,,,填土/狗/整/1,,,,,,
3,殷墟西区,二85,,,,填土/狗/整/1,,,,,,
2,殷墟西区,二91,,,,填土/狗/整/1,,,,,,
4,殷墟西区,二121,,,,填土/狗/整/1,,,,,,
4,殷墟西区,二122,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,二125,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,二127,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,二128,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,二129,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三171,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三292,,,,填土/狗/整/2,,,,,,
3,殷墟西区,三294,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,三295,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
3,殷墟西区,三296,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三298,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三302,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三300,,,,填土/狗/整/1,,,,,,
,殷墟西区,三305,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,三306,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三307,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三308,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三310,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三321,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三322,,,,填土/狗/整/1,,,,,,
,殷墟西区,三326,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,三327,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三333,,,,填土/狗/整/1,,,,,,
,殷墟西区,三334,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,三336,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三341,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三346,,,,二层台/狗/整/1,,,,,,
4,殷墟西区,三347,,,,填土/狗/整/1/水浸,,,,,,
4,殷墟西区,三348,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三349,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三355,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
3,殷墟西区,三356,,,,二层台/狗/整/1,,,,,,
2,殷墟西区,三361,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三364,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三368,,,,/兽/腿,,,,,,
2,殷墟西区,三369,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三370,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三372,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三374,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三376,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三377,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三380,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三386,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三389,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,三391,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三395,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三396,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三397,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三398,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三601,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三605,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三606,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三608,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三611,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三612,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,三613,,,,填土/狗/整/1,腰坑/狗/整/1,二层台/狗/整/1,,,,
,殷墟西区,三614,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
4,殷墟西区,三617,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
2,殷墟西区,三619,,,,二层台/狗/整/1,,,,,,
4,殷墟西区,三620,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,殷墟西区,三625,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
3,殷墟西区,三626,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
2,殷墟西区,三627,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三635,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三637,,,,腰坑/狗/整/1,,,,,,
2,殷墟西区,三638,,,,二层台/狗/整/1,,,,,,
3,殷墟西区,三643,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,三644,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三645,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,殷墟西区,三647,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三655,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三656,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
3,殷墟西区,三659,,,,腰坑/狗/整/1,,,,,,
,殷墟西区,三661,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三666,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三667,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三672,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三674,,,,填土/狗/整/1,,,,,,
,殷墟西区,三678,,,,填土/狗/整/1,,,,,,
2,殷墟西区,三682,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三684,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三687,,,,填土/狗/整/1,,,,,,
3,殷墟西区,三689,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三691,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三696,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三698,,,,车马坑/马,,,,,,
,殷墟西区,三703,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三709,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三711,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三712,,,,腰坑/狗/整/1,,,,,,
4,殷墟西区,三713,,,,填土/狗/整/1,/牛/腿,,,,,
4,殷墟西区,三714,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三717,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
4,殷墟西区,三718,,,,填土/狗/整/1,,,,,,
4,殷墟西区,三719,,,,填土/狗/整/2,,,,,,
2,殷墟西区,三720,,,,腰坑/狗/整/1,,,,,,
3,殷墟西区,三722,,,,填土/狗/整/1,,,,,,
