分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
,梅园庄,梅园庄南M85,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M87,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M93,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M112,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M113,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M118,,,丙,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M125,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M127,,,,腰坑/狗/整,,,,,,
,梅园庄,梅园庄南M128,,,,腰坑/狗/整,,,,,,
,郭家庄,郭家庄东南M1,,,,腰坑/狗/整,,,,,,
,郭家庄,郭家庄东南M7,,,,腰坑/狗/整,,,,,,
,郭家庄,郭家庄东南M8,,,丁,腰坑/狗/整,,,,,,
3,郭家庄,82-92郭家庄M7,,,丁,腰坑/狗/整/1,簋/兽/骨,,,,,
3,郭家庄,82-92郭家庄M25,,,,腰坑/狗/整,,,,,,
4早,郭家庄,82-92郭家庄M26,,,丁,腰坑/狗/整,,,,,,
3,郭家庄,82-92郭家庄M34,,,丙,腰坑/狗/整,棺室/牛/腿,,,,,
,郭家庄,82-92郭家庄M35,,,丙,腰坑/狗/整,,,,,,
2,郭家庄,82-92郭家庄M64,,,丁,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M65,,,丁,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M66,,,,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M85,,,丙,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M87,,,丁,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M88,,,,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M89,,,,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M90,,,,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M91,,,,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M93,,,丙,腰坑/狗/整/1,,,,,,
4晚,郭家庄,82-92郭家庄M95,,,,腰坑/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M99,,,,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M102,,,丁,/狗/整,,,,,,
3,郭家庄,82-92郭家庄M108,,,丁,腰坑/狗/整/1,,,,,,
2,郭家庄,82-92郭家庄M111,,,丙,腰坑/狗/整/1,,,,,,
